wals code,name,value,description,latitude,longitude,genus,family,area
bki,Bakairí,1,Simple,-14,-55,Cariban,Cariban,Phonology
bam,Bambara,1,Simple,12.5,-7.5,Western Mande,Mande,Phonology
byu,Bandjalang (Yugumbir),2,Moderately complex,-27.91666667,153,Southeastern Pama-Nyungan,Pama-Nyungan,Phonology
brd,Bardi,3,Complex,-16.58333333,122.9166667,Nyulnyulan,Nyulnyulan,Phonology
bsk,Bashkir,3,Complex,53,58,Turkic,Altaic,Phonology
bsq,Basque,3,Complex,43,-3,Basque,Basque,Phonology
bkr,Batak (Karo),2,Moderately complex,3.25,98.25,Northwest Sumatra-Barrier Islands,Austronesian,Phonology
baw,Bawm,2,Moderately complex,22.5,92.25,Kuki-Chin,Sino-Tibetan,Phonology
bee,Beembe,2,Moderately complex,-3.916666667,14.08333333,Bantu,Niger-Congo,Phonology
bej,Beja,3,Complex,18,36,Beja,Afro-Asiatic,Phonology
bco,Bella Coola,3,Complex,52.5,-126.6666667,Bella Coola,Salishan,Phonology
ben,Bengali,3,Complex,24,90,Indic,Indo-European,Phonology
bma,Berber (Middle Atlas),3,Complex,33,-5,Berber,Afro-Asiatic,Phonology
ber,Berta,2,Moderately complex,10.33333333,34.66666667,Berta,Berta,Phonology
bir,Birom,2,Moderately complex,9.666666667,8.833333333,Benue-Congo Plateau,Niger-Congo,Phonology
bis,Bisa,2,Moderately complex,11.5,-0.5,Eastern Mande,Mande,Phonology
bbf,Bobo Madaré (Northern),1,Simple,12.41666667,-4.333333333,Western Mande,Mande,Phonology
bod,Bodo,2,Moderately complex,26.83333333,92,Brahmaputran,Sino-Tibetan,Phonology
brr,Bororo,1,Simple,-16,-57,Bororoan,Bororoan,Phonology
brh,Brahui,3,Complex,28.5,67,Dravidian,Dravidian,Phonology
bra,Brao,3,Complex,14.16666667,107.5,Bahnaric,Austro-Asiatic,Phonology
bre,Breton,3,Complex,48,-3,Celtic,Indo-European,Phonology
brw,Bru (Western),3,Complex,16.75,104.75,Katuic,Austro-Asiatic,Phonology
bul,Bulgarian,3,Complex,42.5,25,Slavic,Indo-European,Phonology
bua,Burarra,3,Complex,-12.25,134.5833333,Burarran,Mangrida,Phonology
brm,Burmese,2,Moderately complex,21,96,Burmese-Lolo,Sino-Tibetan,Phonology
bur,Burushaski,3,Complex,36.5,74.5,Burushaski,Burushaski,Phonology
bet,Bété,2,Moderately complex,6.25,-6.25,Kru,Niger-Congo,Phonology
cac,Cacua,2,Moderately complex,1.083333333,-70,Cacua-Nukak,Cacua-Nukak,Phonology
cad,Caddo,2,Moderately complex,33.33333333,-93.5,Caddo,Caddoan,Phonology
cah,Cahuilla,3,Complex,33.5,-116.25,Northern Uto-Aztecan,Uto-Aztecan,Phonology
cax,Campa (Axininca),2,Moderately complex,-12,-74,Pre-Andine Arawakan,Arawakan,Phonology
cam,Camsá,3,Complex,1.166666667,-77,Camsá,Camsá,Phonology
cnl,Canela,3,Complex,-7,-45,Je Setentrional,Macro-Ge,Phonology
cnt,Cantonese,2,Moderately complex,23,113,Chinese,Sino-Tibetan,Phonology
car,Carib,2,Moderately complex,5.5,-56,Cariban,Cariban,Phonology
ctl,Catalan,2,Moderately complex,41.75,2,Romance,Indo-European,Phonology
cyv,Cayuvava,1,Simple,-13.5,-65.5,Cayuvava,Cayuvava,Phonology
chw,Cham (Western),3,Complex,12,105.5,Malayo-Sumbawan,Austronesian,Phonology
cha,Chamorro,2,Moderately complex,13.45,144.75,Chamorro,Austronesian,Phonology
chl,Chehalis (Upper),3,Complex,46.58333333,-123,Tsamosan,Salishan,Phonology
che,Cherokee,2,Moderately complex,35.5,-83.5,Southern Iroquoian,Iroquoian,Phonology
cck,Chickasaw,2,Moderately complex,34,-88,Muskogean,Muskogean,Phonology
cti,Chin (Tiddim),2,Moderately complex,23.33333333,93.66666667,Kuki-Chin,Sino-Tibetan,Phonology
cle,Chinantec (Lealao),2,Moderately complex,17.33333333,-95.91666667,Chinantecan,Oto-Manguean,Phonology
chq,Chinantec (Quiotepec),1,Simple,17.58333333,-96.66666667,Chinantecan,Oto-Manguean,Phonology
chp,Chipewyan,2,Moderately complex,59,-106,Athapaskan,Na-Dene,Phonology
chk,Chukchi,3,Complex,67,-173,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,Phonology
chv,Chuvash,3,Complex,55.5,47.5,Turkic,Altaic,Phonology
cil,CiLuba,2,Moderately complex,-6,22,Bantu,Niger-Congo,Phonology
ccp,Cocopa,3,Complex,32.33333333,-115,Yuman,Hokan,Phonology
cmn,Comanche,2,Moderately complex,33.5,-101.5,Northern Uto-Aztecan,Uto-Aztecan,Phonology
coo,Coos (Hanis),3,Complex,43.5,-124.1666667,Coosan,Oregon Coast,Phonology
cre,Cree (Plains),2,Moderately complex,54,-110,Algonquian,Algic,Phonology
cub,Cubeo,1,Simple,1.333333333,-70.5,Tucanoan,Tucanoan,Phonology
dad,Dadibi,2,Moderately complex,-6.55,144.5833333,Teberan,Teberan-Pawaian,Phonology
dag,Daga,2,Moderately complex,-10,149.3333333,Dagan,Trans-New Guinea,Phonology
dgb,Dagbani,2,Moderately complex,9.583333333,-0.5,Oti-Volta,Niger-Congo,Phonology
dgr,Dagur,3,Complex,48,124,Mongolic,Altaic,Phonology
ddf,Daju (Dar Fur),2,Moderately complex,12.25,25.25,Daju,Eastern Sudanic,Phonology
dan,Dan,2,Moderately complex,7.5,-8,Eastern Mande,Mande,Phonology
dnw,Dangaléat (Western),2,Moderately complex,12.16666667,18.33333333,East Chadic,Afro-Asiatic,Phonology
