wals code,name,value,description,latitude,longitude,genus,family,area
fin,Finnish,8,10 or more cases,62,25,Finnic,Uralic,Nominal Categories
fre,French,1,No morphological case-marking,48,2,Romance,Indo-European,Nominal Categories
frw,Frisian (Western),1,No morphological case-marking,53,6,Germanic,Indo-European,Nominal Categories
fua,Fulfulde (Adamawa),1,No morphological case-marking,9.166666667,13.5,Peul-Serer,Niger-Congo,Nominal Categories
fur,Fur,4,4 cases,13.5,25,Fur,Fur,Nominal Categories
gar,Garo,7,8-9 cases,25.66666667,90.5,Brahmaputran,Sino-Tibetan,Nominal Categories
geo,Georgian,6,6-7 cases,42,44,Kartvelian,Kartvelian,Nominal Categories
ger,German,4,4 cases,52,10,Germanic,Indo-European,Nominal Categories
gim,Gimira,6,6-7 cases,7,35.75,Ta-Ne-Omotic,Afro-Asiatic,Nominal Categories
goo,Gooniyandi,8,10 or more cases,-18.33333333,126.3333333,Bunuban,Bunuban,Nominal Categories
grb,Grebo,1,No morphological case-marking,5,-8,Kru,Niger-Congo,Nominal Categories
grk,Greek (Modern),3,3 cases,39,22,Greek,Indo-European,Nominal Categories
grw,Greenlandic (West),7,8-9 cases,64,-51,Eskimo,Eskimo-Aleut,Nominal Categories
gua,Guaraní,1,No morphological case-marking,-26,-56,Maweti-Guarani,Tupian,Nominal Categories
hai,Haida,1,No morphological case-marking,53,-132,Haida,Haida,Nominal Categories
ham,Hamtai,8,10 or more cases,-7.5,146.25,Nuclear Angan,Trans-New Guinea,Nominal Categories
hau,Hausa,1,No morphological case-marking,12,7,West Chadic,Afro-Asiatic,Nominal Categories
heb,Hebrew (Modern),1,No morphological case-marking,31.5,34.83333333,Semitic,Afro-Asiatic,Nominal Categories
hix,Hixkaryana,1,No morphological case-marking,-1,-59,Cariban,Cariban,Nominal Categories
hmo,Hmong Njua,1,No morphological case-marking,28,105,Hmongic,Hmong-Mien,Nominal Categories
hua,Hua,7,8-9 cases,-6.333333333,145.3333333,Siane-Yagaria,Trans-New Guinea,Nominal Categories
hve,Huave (San Mateo del Mar),1,No morphological case-marking,16.21666667,-95,Huavean,Huavean,Nominal Categories
hmi,Huitoto (Minica),6,6-7 cases,-0.3333333333,-74,Witoto,Witotoan,Nominal Categories
hun,Hungarian,8,10 or more cases,47,20,Ugric,Uralic,Nominal Categories
hzb,Hunzib,8,10 or more cases,42.16666667,46.25,Avar-Andic-Tsezic,Nakh-Daghestanian,Nominal Categories
iaa,Iaai,1,No morphological case-marking,-20.41666667,166.5833333,Oceanic,Austronesian,Nominal Categories
ice,Icelandic,4,4 cases,65,-17,Germanic,Indo-European,Nominal Categories
igb,Igbo,1,No morphological case-marking,6,7.333333333,Igboid,Niger-Congo,Nominal Categories
ika,Ika,6,6-7 cases,10.66666667,-73.75,Arhuacic,Chibchan,Nominal Categories
ilo,Ilocano,1,No morphological case-marking,16,121,Northern Luzon,Austronesian,Nominal Categories
imo,Imonda,5,5 cases,-3.333333333,141.1666667,Border,Border,Nominal Categories
ind,Indonesian,1,No morphological case-marking,0,106,Malayo-Sumbawan,Austronesian,Nominal Categories
ing,Ingush,8,10 or more cases,43.16666667,45.08333333,Nakh,Nakh-Daghestanian,Nominal Categories
irq,Iraqw,9,Exclusively borderline case-marking,-4,35.5,Southern Cushitic,Afro-Asiatic,Nominal Categories
